name,addr
책꿈씨교실,"경기 양주시 부흥로 2019 (고읍동, TS푸른솔1차아파트)"
화성한빛교실,경기도 화성시 반송동 시범한빛마을동탄아이파크아파트 (221~228동)
이편한글쓰기교실,"경기 양주시 옥정로5길 35 (옥정동, 이편한세상양주)"
당진 푸르지오,충남 당진시 읍내동 1602
송천엘림교실,서울특별시 강북구 미아5동
오름논술교실,서울특별시 용산구 이촌1동 한가람아파트
진영숙독서논술,경상남도 진주시 평거동
백샘 논술,충청남도 논산시 반월동
태장포란재교실,강원도 원주시 태장2동 금광포란재아파트 (101~119동)
우리말우리글교실,"강원 원주시 백간길 72 (단계동, 라이프타운)"
분평 해법독서논술교,"충북 청주시 흥덕구 가경로 100-20 (가경동, 삼일 원앙 아파트)"
갈현셀파논술교실,서울특별시 은평구 갈현동
성현마을 주공교실,"경기 용인시 수지구 죽전로193번길 11 (죽전동, 성현마을주공3단지아파트)"
진해 경화 삼정그린교,경상남도 창원시 진해구 경화동 삼정그린코아아파트
김은주해법교실,인천광역시 남구 관교동
해법 오성 교실,충청남도 천안시 서북구 두정동
종로창신교실,서울특별시 종로구 창신1동
해법 신수교실,서울특별시 마포구 토정로242(신수동)
e편한세상해법독서논술,경기도 광명시 하안동
광교에듀타운교실,"경기 수원시 영통구 도청로17번길 23 (이의동, 자연앤자이)"
호수마을교실,경기도 고양시 일산동구 장항2동 호수마을2단지아파트
칠보마을,"경기 수원시 권선구 금곡로 20 (금곡동, 칠보마을 6단지)"
철산한신,"경기 광명시 디지털로 64 (철산동, 철산한신아파트)"
정쌤솔로몬 현촌교실,"경기 평택시 현촌3길 21 (용이동, 평택용이금호어울림 1단지)"
태릉초교실,"서울 노원구 노원로1길 21 (공릉동, 공릉9단지청솔아파트)"
네오 스터디,서울특별시 영등포구 당산동4가
양지대림1.2차,서울특별시 노원구 중계1동 양지대림아파트
장위동 꿈의 숲 교실,서울특별시 성북구 장위동
이문쌍용느티나무교실,서울특별시 동대문구 이문2동
THE 오름,경기도 안양시 동안구 평촌동
용산글짱교실,대구광역시 달서구 성당동 2동
심천 참나무교실,경기도 안양시 동안구 호계동
생각나무교실,"서울 노원구 한글비석로8길 41 (중계동, 중계6단지주공아파트)"
에듀킹창의사고력교실,"세종특별자치시 누리로 59 (한솔동, 첫마을5단지)"
응암교실,서울특별시 은평구 응암동
글자람교실,인천광역시 남동구 구월동
봉서교실,전북 완주군 봉동읍 둔산리 877-1
신곡2동 2교실,경기도 의정부시 신곡2동 극동아파트
백마1교실,경기도 고양시 일산서구 탄현동 탄현마을16단지아파트
호평동원교실,경기도 남양주시 호평동
이리담학원,서울 은평구 응암동 760
세계로교실,"경기 고양시 덕양구 화신로 298 (화정동, 별빛마을8단지아파트)"
호원1동 한주교실,경기도 의정부시 호원1동 한주아파트1차 아파트
청아람신선생,대구광역시 달성군 다사읍 매곡리 대실역청아람2단지아파트
하나튜터교실,"강원 원주시 서원대로 427 (단구동, 개운2차한신휴플러스아파트)"
석관교실,서울특별시 성북구 석관동
쿵푸스논술,"광주 광산구 임방울대로378번길 45 (수완동, 수안채리치)"
화성봉담교실,"경기 화성시 봉담읍 와우로 71 (와우리, 봉담 휴먼빌)"
우신교실,부산 해운대구 재송2동
산본9단지 교실,"경기 군포시 고산로539번길 7-12 (산본동, 묘향롯데아파트)"
도신초,서울 영등포구 문래북로 31-1 (양평동1가)
크레센도교실,"대구 서구 국채보상로50길 20 (평리동, 평리 푸르지오)"
청학3단지교실,경기 남양주시 별내면
신우아파트교실,"경기 안산시 상록구 감골로 83 (사동, 신우아파트)"
당리엘리트,부산 사하구 당리동 164
다빈치학원,"경기 파주시 와석순환로 421 (와동동, 지산프라자)"
동해 천곡롯데,"강원 동해시 감추7길 22-11 (천곡동, 롯데아파트)"
이문청진교실,서울 동대문구 이문동 242-28
성사길라잡이교실,"경기 고양시 덕양구 호국로 846-16 (성사동, 진영상가빌딩)"
서현 가람교실,"경기 성남시 분당구 돌마로486번길 6 (서현동, 상록프라자)"
아리솔,서울 양천구 신목로5길 15-2 (신정동)
이근하 해법독서논술교실,광주 광역시 광산구 월계동
민락2지구 센트럴교실,"경기 의정부시 송양로 75 (민락동, 민락센트럴)"
샘머리2단지,"대전 서구 청사로 281 (둔산동, 샘머리아파트2단지)"
가람해법독서논술,"대전 서구 둔산북로 215 (둔산동, 가람아파트)"
까비교실,"대구 달서구 비슬로 2734 (대곡동, 대곡역 화성파크드림 위드)"
다독다독국어논술,"부산 동래구 문화로 33 (명륜동, 동래센트럴파크하이츠2차)"
힐스테이트위브 글숲,부산 해운대구 중동 힐스테이트 위브
처인구 역북교실,경기 용인시 처인구 역북동
화성박쌤교실,"경기 화성시 향남읍 행정동로 83 (행정리, 향남시범복사꽃마을상록하늘채아파트)"
신천효신교실,대구 동구 신천동 485-12
롯데캐슬디아망 교실,"부산 금정구 동부곡로15번길 76 (부곡동, 롯데캐슬디아망)"
논술쟁이,"경기 성남시 수정구 수정로 316 (신흥동, 우찬셀레스빌)"
코너스톤,인천 서구 신현동 281-30 1층
무지개교실,경기 고양시 덕양구 고양동 724
아크로폴리스교실,강원 춘천시 충혼길44번길 12-1 (온의동)
천호하나학원,"서울 강동구 성안로25길 6 (천호동, 삼성아파트)"
글고운교실,"경남 양산시 물금읍 범어로 77 (범어리, 우미린아파트)"
번동세진교실,서울 강북구 번동 412-13
양산 청어람교실,"경남 양산시 양주로 94 (남부동, 양산신도시아파트청어람)"
이인원동화독서논술,"경북 김천시 부곡길 162 (부곡동, 화성아파트)"
효자 엘드수목토교실,"전북 전주시 덕진구 틀못4길 17 (장동, 우미린 2단지)"
창원대방덕산,경남 창원시 성산구 대방동 356
구미도량교실,"경북 구미시 도봉로 67 (도량동, 뜨란채5단지아파트)"
